timestamp,alert_probability
2026-06-20 04:00:00+03:00,1.0
2026-06-20 05:00:00+03:00,1.0
2026-06-20 06:00:00+03:00,1.0
2026-06-20 07:00:00+03:00,0.846184879764056
2026-06-20 08:00:00+03:00,0.862562651630457
2026-06-20 09:00:00+03:00,0.922614481807261
2026-06-20 10:00:00+03:00,0.922614481807261
2026-06-20 11:00:00+03:00,0.9608292828288636
2026-06-20 12:00:00+03:00,0.938992253673662
2026-06-20 13:00:00+03:00,0.938992253673662
2026-06-20 14:00:00+03:00,0.9499107682512629
2026-06-20 15:00:00+03:00,0.90623670994086
2026-06-20 16:00:00+03:00,0.9116959672296603
2026-06-20 17:00:00+03:00,0.8953181953632593
2026-06-20 18:00:00+03:00,0.9007774526520596
2026-06-20 19:00:00+03:00,0.8898589380744589
2026-06-20 20:00:00+03:00,0.9280737390960614
2026-06-20 21:00:00+03:00,1.0
2026-06-20 22:00:00+03:00,1.0
2026-06-20 23:00:00+03:00,1.0
2026-06-21 00:00:00+03:00,1.0
2026-06-21 01:00:00+03:00,1.0
2026-06-21 02:00:00+03:00,1.0
2026-06-21 03:00:00+03:00,1.0
2026-06-21 04:00:00+03:00,1.0
2026-06-21 05:00:00+03:00,1.0
2026-06-21 06:00:00+03:00,1.0
2026-06-21 07:00:00+03:00,0.846184879764056
2026-06-21 08:00:00+03:00,0.8680219089192575
2026-06-21 09:00:00+03:00,0.8953181953632593
2026-06-21 10:00:00+03:00,0.90623670994086
2026-06-21 11:00:00+03:00,0.90623670994086
2026-06-21 12:00:00+03:00,0.8734811662080578
2026-06-21 13:00:00+03:00,0.8571033943416567
2026-06-21 14:00:00+03:00,0.862562651630457
2026-06-21 15:00:00+03:00,0.8079700787424534
2026-06-21 16:00:00+03:00,0.8079700787424534
2026-06-21 17:00:00+03:00,0.846184879764056
2026-06-21 18:00:00+03:00,0.8734811662080578
2026-06-21 19:00:00+03:00,0.8680219089192575
2026-06-21 20:00:00+03:00,0.9335329963848618
2026-06-21 21:00:00+03:00,1.0
2026-06-21 22:00:00+03:00,1.0
2026-06-21 23:00:00+03:00,1.0
2026-06-22 00:00:00+03:00,1.0
2026-06-22 01:00:00+03:00,1.0
2026-06-22 02:00:00+03:00,1.0
2026-06-22 03:00:00+03:00,1.0
2026-06-22 04:00:00+03:00,1.0
2026-06-22 05:00:00+03:00,1.0
2026-06-22 06:00:00+03:00,1.0
2026-06-22 07:00:00+03:00,0.8843996807856584
2026-06-22 08:00:00+03:00,0.8953181953632593
2026-06-22 09:00:00+03:00,0.90623670994086
2026-06-22 10:00:00+03:00,0.9116959672296603
2026-06-22 11:00:00+03:00,0.8953181953632593
2026-06-22 12:00:00+03:00,0.9335329963848618
2026-06-22 13:00:00+03:00,0.9935848265616657
2026-06-22 14:00:00+03:00,0.9717477974064642
2026-06-22 15:00:00+03:00,0.8843996807856584
2026-06-22 16:00:00+03:00,0.8516441370528564
2026-06-22 17:00:00+03:00,0.8516441370528564
2026-06-22 18:00:00+03:00,0.8516441370528564
2026-06-22 19:00:00+03:00,0.8188885933200541
2026-06-22 20:00:00+03:00,0.8898589380744589
2026-06-22 21:00:00+03:00,1.0
2026-06-22 22:00:00+03:00,1.0
