date,sarima,sarima_low,sarima_high,ml
2026-06-21,18.02067179719515,15.232321317369566,20.80902227702073,21.614335313851115
2026-06-22,20.462386969642306,17.572910495444674,23.35186344383994,20.3242860425796
2026-06-23,20.836314401813745,17.912300174725175,23.760328628902315,22.245863938508272
2026-06-24,20.893125509518207,17.941760380090756,23.844490638945658,21.76237219003236
2026-06-25,20.901788816498417,17.924284529236616,23.87929310376022,21.582519331783644
2026-06-26,20.903109911806467,17.89983768113939,23.906382142473543,21.38799550111914
2026-06-27,21.43812707016548,18.40932780967208,24.0,19.43138582826778
2026-06-28,21.048723211550232,18.002580349435096,24.0,19.894620952091827
2026-06-29,20.990122236771654,17.921111341574996,24.0,20.471304086971873
2026-06-30,20.98025606862345,17.887626832609968,24.0,21.6303300174909
2026-07-01,20.978875110638196,17.86266581589181,24.0,20.320284470908472
2026-07-02,20.97866452395125,17.839030926985366,24.0,20.084192909680958
2026-07-03,20.97863241091581,17.81574475661279,24.0,19.41400066902346
2026-07-04,20.664355556315773,17.47838307985495,23.850328032776595,20.553055927506264
2026-07-05,20.893196946395882,17.679310197605073,24.0,20.29802790391777
2026-07-06,20.927635079809612,17.689728964393545,24.0,20.927186474050572
2026-07-07,20.933433105562543,17.672215401111583,24.0,20.696202198939158
2026-07-08,20.934244654643035,17.649960689623093,24.0,20.033289659391144
2026-07-09,20.93436841035029,17.62719114213937,24.0,20.92681976030897
2026-07-10,20.93438728225274,17.604475929460346,24.0,18.777268909673356
2026-07-11,21.119064737260725,17.766573739026633,24.0,21.72322675669515
2026-07-12,20.984591438188033,17.612285717937525,24.0,20.200748123388884
2026-07-13,20.96435467327233,17.57047330375149,24.0,20.574663862861968
2026-07-14,20.96094759883161,17.54533510928554,24.0,19.635349572413368
2026-07-15,20.96047071096541,17.523220106062823,24.0,21.652777470390266
2026-07-16,20.96039798881393,17.501637904845694,24.0,19.648720845191587
2026-07-17,20.960386899181145,17.48024925592298,24.0,20.671452287221413
2026-07-18,20.851865505229174,17.350480665438933,24.0,19.48468900264862
2026-07-19,20.930885599284824,17.406851315123856,24.0,21.82937766080228
2026-07-20,20.942777261630052,17.397350809293542,24.0,19.116872867839824
